title,url
Use of Automatic Code Assessment Tools in the Programming Teaching Process,https://drops.dagstuhl.de/entities/document/10.4230/OASIcs.ICPEC.2020.4
Understanding the relationships between self-regulated learning and students source code in a computer programming course,https://ieeexplore.ieee.org/document/8190467/
Experience applying language processing techniques to develop educational software that allow active learning methodologies by advising students,https://www.sciencedirect.com/science/article/pii/S1084804513002166
"Logic Programming at Elementary School: Why, What and How Should We Teach Logic Programming to Children?",https://link.springer.com/10.1007/978-3-031-35254-6_11
On Code Analysis Opportunities and Challenges for Enterprise Systems and Microservices,https://ieeexplore.ieee.org/document/9179733/
We do not understand what it says – studying student perceptions of software modelling,https://link.springer.com/10.1007/s10664-023-10404-w
Comparative Analysis of Word Embeddings in Assessing Semantic Similarity of Complex Sentences,https://ieeexplore.ieee.org/document/9652410/
The Study of Programming Language Learning by Applying Flipped Classroom,https://ieeexplore.ieee.org/document/8569171/
An interactive multimedia storybook demonstration system,http://link.springer.com/10.1007/s11042-014-1926-1
"Exploring students' computational practice, design and performance of problem-solving through a visual programming environment",https://www.sciencedirect.com/science/article/pii/S0360131516300161
Enhancement of English learning performance by using an attention-based diagnosing and review mechanism in paper-based learning context with digital pen support,http://link.springer.com/10.1007/s10209-017-0576-2
Research on the Application and Optimization of Open Source Hardware and Programming in Education of Digital Media Art Design,https://ieeexplore.ieee.org/document/9725095/
Enhancing student's computational thinking skills with student-generated questions strategy in a game-based learning platform,https://www.sciencedirect.com/science/article/pii/S0360131523000714
MOOC-Ready System for a Course on Fundamentals of Programming using C: Development and Analysis,https://doi.org/10.1145/3369199.3369223
The Problems of Programming Teaching,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060883189&doi=10.1109%2fINFORINO.2018.8581834&partnerID=40&md5=1754f5b579d0d87deea12a9771defa20
An Efficient Method to Teach Both C++ Language and Image Processing Together at General Classroom without Using Computer Rooms,https://doi.org/10.1145/3369255.3372175
Conceptual Checks for Programming Teachers,https://link.springer.com/10.1007/978-3-030-86436-1_43
A case study of distance education for informatics gifted students,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945326782&doi=10.4018%2f978-1-4666-6489-0.ch017&partnerID=40&md5=2ca3d69145e10a9df95d11c300cc79d1
The Influence of Code.org on Computational Thinking and Learning Attitude in Block-Based Programming Education,https://dl.acm.org/doi/10.1145/3578837.3578871
Learning Dimensions: Lessons from Field Studies,https://doi.org/10.1145/3059009.3059046
Data Analysis of Blended Learning in Python Programming,http://link.springer.com/10.1007/978-3-030-05057-3_16
Applying SPOCs for Programming Course to Improve Study Quality,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961833443&doi=10.1109%2fTSA.2015.28&partnerID=40&md5=38312e063f9465490f6474694dfea948
Development of a computational thinking scale for programming,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093108893&partnerID=40&md5=1b397001cc76fa289ca8cd7c78a74901
Programming Question Generation by a Semantic Network: A Preliminary User Study with Experienced Instructors,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135917421&doi=10.1007%2f978-3-031-11647-6_93&partnerID=40&md5=2030cbd309012999b8142c88ee84e133
Adaptive problem-solving oriented programming learning system,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988457218&doi=10.1109%2fICASI.2016.7539851&partnerID=40&md5=5ca81cbaf977f9a7377ea3ecb830849b
A programming learning diagnostic system using case-based reasoning method,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988493335&doi=10.1109%2fICSSE.2016.7551544&partnerID=40&md5=0e31f4eee64cc9261382d63fd0209819
Recognizing Developer Activity Based on Joint Modeling of Code and Command Interactions,https://ieeexplore.ieee.org/document/9268948/
Teaching Networks to Digital Humanists,https://ieeexplore.ieee.org/document/9286905/
Comparison of feedback strategies for supporting programming learning in integrated development environments (IDEs),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025134292&doi=10.1007%2f978-3-319-61911-8_7&partnerID=40&md5=2d373e25991c2a5e62b6ef4417e55ef6
Trust and theWeb � A Decline or a Revival?,http://www.riverpublishers.com/journal_read_html_article.php?j=JWE/17/8/1
Assessing the individual acquisition of teamwork competence by exploring students’ instant messaging tools use: the WhatsApp case study,https://link.springer.com/10.1007/s10209-020-00772-1
Value-Focused Investigation into Programming Languages Affinity,https://drops.dagstuhl.de/entities/document/10.4230/OASIcs.ICPEC.2022.1
Microworlds with different pedagogical approaches in introductory programming learning: Effects in programming knowledge and logical reasoning,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066748992&doi=10.31449%2finf.v43i1.2657&partnerID=40&md5=aa5eb8b195d46beb9cc61035c813fa3b
Development and validation of an assessment instrument of the initial programming skills,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041613986&doi=10.17013%2fristi.25.66-81&partnerID=40&md5=e215e43c474d1c7f6076c2b5c20212ef
Towards the Classification of Self-Sovereign Identity Properties,https://ieeexplore.ieee.org/document/9858139/
Purpose-first Programming: A Programming Learning Approach for Learners who Care Most about What Code Achieves,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092129203&doi=10.1145%2f3372782.3407102&partnerID=40&md5=240369053f1949deb8ef43a1c60a0da3
Purpose-first Programming: A Programming Learning Approach for Learners who Care Most About What Code Achieves,https://dl.acm.org/doi/10.1145/3372782.3407102
Orienting learners and teachers in introductory programming classes: the ABC Framework,https://dl.acm.org/doi/10.1145/3633053.3633063
"Relationships: computational thinking, pedagogy of programming, and Bloom's Taxonomy",https://doi.org/10.1145/2818314.2818315
Developing a virtual learning object for teaching mobile web programming with design thinking,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989227529&partnerID=40&md5=e211e1878bb9ca697fd36dc18163cb93
Using the IDEAL model for the construction of a deployment framework of IT Service Desks at the Brazilian Federal Institutes of Education,http://link.springer.com/10.1007/s11219-020-09499-x
Maiboli - A programming language solution based on Marathi Devanagari Script,https://ieeexplore.ieee.org/document/8973043/
Influence of the Programming Environment on Programming Education,https://doi.org/10.1145/2899415.2925477
Teaching robot programming activities for visually impaired students: A systematic review,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025151975&doi=10.1007%2f978-3-319-58700-4_14&partnerID=40&md5=85cb2fac0ec7b17313d8f3fc7b54390d
A field study of how developers locate features in source code,http://link.springer.com/10.1007/s10664-015-9373-9
An Alternative Approach to Normal Parameter Reduction Algorithm for Soft Set Theory,http://ieeexplore.ieee.org/document/7803569/
Design an Interactive-Coding Web-Based Learning Module for Algorithm and Programming Course in Industrial Engineering Students,https://ieeexplore.ieee.org/document/9616825/
Relay performance verification using fault event records,https://pcmp.springeropen.com/articles/10.1186/s41601-018-0094-0
"Programming, Problem Solving, and Self-Awareness: Effects of Explicit Guidance",https://doi.org/10.1145/2858036.2858252
How does developer interaction relate to software quality? an examination of product development data,http://link.springer.com/10.1007/s10664-017-9534-0
Improving manual reviews in function-centered engineering of embedded systems using a dedicated review model,http://link.springer.com/10.1007/s10270-019-00723-2
Effects of blending digital games into traditional lecture-based learning on university students' programming learning achievement,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077504305&doi=10.34190%2fEEL.19.070&partnerID=40&md5=be9db398cbf36a2f0dd36867a62dba8e
The Effects of Thinking Process Model Technique on Logical Thinking Skills Influencing Programming Achievement,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127612214&doi=10.1109%2fECTIDAMTNCON53731.2022.9720360&partnerID=40&md5=999a075e56caa9cc1ebe40b3819f604e
Using Digital Game as Compiler to Motivate C Programming Language Learning in Higher Education,http://ieeexplore.ieee.org/document/8113302/
Smart Learning Environment to Augment the Learners’ Programming Skills,https://ieeexplore.ieee.org/document/9090736/
Teaching Abstraction in Computer Science to 7th Grade Students,https://doi.org/10.1145/3372143
Starting from Scratch: Outcomes of Early Computer Science Learning Experiences and Implications for What Comes Next,https://doi.org/10.1145/3230977.3230988
Activating learning at scale: A review of innovations in online learning strategies,https://www.sciencedirect.com/science/article/pii/S0360131518301337
Work in Progress: Improving Learning Performance using Programming Methodology,https://ieeexplore.ieee.org/document/8725206/
Evolución de un curso inicial de programación a un enfoque multiparadigma: Análisis y resultados,http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-99592019000200002〈=pt
