title,url,review,error
Hybrid heuristic algorithm for multi-objective scheduling problem,http://www.jseepub.com/EN/10.21629/JSEE.2019.02.12,,yes
MapReduce rationality verification based on object Petri net,http://www.jseepub.com/EN/10.21629/JSEE.2019.05.05,"Não deve ser revisado, pois o artigo",no
Supporting Learning Programming Using Educational Digital Games,https://www.coding4girls.eu/upload/web_comp/add/doc/000000502_1588939829.pdf,,yes
Control algorithm based on limit cycle oscillator-FLL for UPQC-S with optimized PI gains,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9056993,n/a,no
A two-stage peer-to-peer energy trading model for distribution systems with the participation of the utility,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9465787,n/a,no
Many-objective Optimization Method Based on Dimension Reduction for Operation of Large-scale Cooling Energy Systems,https://xplorestaging.ieee.org/ielx7/7054730/10144466/10106203.pdf?rnumber=10106203,,yes
Retracted: Application of Thematic Context-Based Deep Learning in Foreign Language Teaching,https://www.hindawi.com/journals/sp/2023/9878454/,"Não deve ser revisado, pois não se en",no
Computing and Communications for the Software-Defined Metamaterial Paradigm: A Context Analysis,https://ieeexplore.ieee.org/document/7896565/,"Não.

Este artigo não se enquadra",no
Evaluating the Effectiveness of Flipped Teaching in a Mixed-Ability CS1 Course,https://doi.org/10.1145/3341525.3387395,,yes
Geometry and Topology Optimization of Switched Reluctance Machines: A Review,https://ieeexplore.ieee.org/document/9669949/,Sim,no
"Profit-based unit commitment problem: A review of models, methods, challenges, and future directions",https://www.sciencedirect.com/science/article/pii/S1364032120307905,,yes
Does the Use of Smart Board Increase Students’ Higher Order Thinking Skills (HOTS)?,https://ieeexplore.ieee.org/document/9284437/,Não (Não aborda o objetivo da pesquisa de,no
A Comparison of Block-Based Programming Platforms for Learning Programming and Creating Simple Application,https://link.springer.com/10.1007/978-3-030-98741-1_52,,yes
Toward a Multi-Criteria Framework for Selecting Software Testing Tools,https://ieeexplore.ieee.org/document/9614194/,Sim,no
Fog Load Balancing for Massive Machine Type Communications: A Game and Transport Theoretic Approach,https://ieeexplore.ieee.org/document/8590702/,Sim,no
Learning Rust: How Experienced Programmers Leverage Resources to Learn a New Programming Language,https://dl.acm.org/doi/10.1145/3334480.3383069,,yes
Applying Augmented Reality to Learn Basic Concepts of Programming in U-Learning Environment,https://link.springer.com/10.1007/978-3-030-75836-3_20,,yes
A systematic literature review of cognitive models of the behavior of novice software developers,,,yes
Activity theory analysis of the virtualisation of teaching and teaching environment in a developing country university,http://link.springer.com/10.1007/s10639-018-9774-7,,yes
Comparing Signature Detection of Convolutional Neural Network in Low-Level and Large Language Model in High-Level Programming Language,https://ieeexplore.ieee.org/document/10297113/,Sim,no
An Agile Concept Inventory Methodology to Detect Large Sets of Student Misconceptions in Programming Language Courses,https://link.springer.com/10.1007/978-3-031-42682-7_1,,yes
Witter: A Library for White-Box Testing of Introductory Programming Algorithms,https://doi.org/10.1145/3622780.3623650,,yes
Student experience with software modeling tools,http://link.springer.com/10.1007/s10270-018-00709-6,,yes
Educasso em Algoritmos e Estruturas de Dados no Contexto do Ensino Baseado em Jogos Digitais,http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-99592021000300010〈=pt,,yes
Uso de lenguajes de programación para desarrollar el razonamiento lógico matemático en los niños,http://scielo.senescyt.gob.ec/scielo.php?script=sci_arttext&pid=S2631-27862019000100064〈=pt,,yes
Interactive Learning of Abstract Programming Concepts with InteractiveOOP,https://ieeexplore.ieee.org/document/8753412/,Sim,no
Game Theory Applications in Micro and Macroscopic Simulations in Transportation Networks: A Comprehensive Review,https://ieeexplore.ieee.org/document/10227273/,Talvez,no
Entry: visual programming to enhance children's computational thinking,https://doi.org/10.1145/2800835.2800871,"Não deve ser revisado, pois o artigo",no
Using the Methodology Problem-Based Learning to Teaching Programming to Freshman Students,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160225963&doi=10.18178%2fijiet.2023.13.3.1825&partnerID=40&md5=ab66070190b90954bb50b68fc279bdef,Olá! Como posso ajudar você hoje,no
Active Methodologies in Incoming Programming Classes (Short Paper),https://drops.dagstuhl.de/entities/document/10.4230/OASIcs.ICPEC.2021.8,Sim,no
Multimodal Robot Programming by Demonstration: A Preliminary Exploration,https://arxiv.org/abs/2301.07189,Sim,no
