title,url,review,error
Computing and Communications for the Software-Defined Metamaterial Paradigm: A Context Analysis,https://ieeexplore.ieee.org/document/7896565/,Sim,no
Hybrid heuristic algorithm for multi-objective scheduling problem,http://www.jseepub.com/EN/10.21629/JSEE.2019.02.12,,yes
Supporting Learning Programming Using Educational Digital Games,https://www.coding4girls.eu/upload/web_comp/add/doc/000000502_1588939829.pdf,,yes
Evaluating the Effectiveness of Flipped Teaching in a Mixed-Ability CS1 Course,https://dl.acm.org/doi/10.1145/3341525.3387395,,yes
Many-objective Optimization Method Based on Dimension Reduction for Operation of Large-scale Cooling Energy Systems,https://xplorestaging.ieee.org/ielx7/7054730/10144466/10106203.pdf?rnumber=10106203,,yes
Retracted: Application of Thematic Context-Based Deep Learning in Foreign Language Teaching,https://www.hindawi.com/journals/sp/2023/9878454/,Sim,no
Computing and Communications for the Software-Defined Metamaterial Paradigm: A Context Analysis,https://ieeexplore.ieee.org/document/7896565/,Não. Este artigo não se enquadra,no
Evaluating the Effectiveness of Flipped Teaching in a Mixed-Ability CS1 Course,https://doi.org/10.1145/3341525.3387395,,yes
Geometry and Topology Optimization of Switched Reluctance Machines: A Review,https://ieeexplore.ieee.org/document/9669949/,Sim.,no
Does the Use of Smart Board Increase Students’ Higher Order Thinking Skills (HOTS)?,https://ieeexplore.ieee.org/document/9284437/,Sim,no

Computing and Communications for the Software-Defined Metamaterial Paradigm: A Context Analysis,https://ieeexplore.ieee.org/document/7896565/,,yes
Hybrid heuristic algorithm for multi-objective scheduling problem,http://www.jseepub.com/EN/10.21629/JSEE.2019.02.12,,yes
Supporting Learning Programming Using Educational Digital Games,https://www.coding4girls.eu/upload/web_comp/add/doc/000000502_1588939829.pdf,,yes
Evaluating the Effectiveness of Flipped Teaching in a Mixed-Ability CS1 Course,https://dl.acm.org/doi/10.1145/3341525.3387395,,yes
Many-objective Optimization Method Based on Dimension Reduction for Operation of Large-scale Cooling Energy Systems,https://xplorestaging.ieee.org/ielx7/7054730/10144466/10106203.pdf?rnumber=10106203,,yes
Retracted: Application of Thematic Context-Based Deep Learning in Foreign Language Teaching,https://www.hindawi.com/journals/sp/2023/9878454/,,yes
Computing and Communications for the Software-Defined Metamaterial Paradigm: A Context Analysis,https://ieeexplore.ieee.org/document/7896565/,,yes
Evaluating the Effectiveness of Flipped Teaching in a Mixed-Ability CS1 Course,https://doi.org/10.1145/3341525.3387395,,yes
Geometry and Topology Optimization of Switched Reluctance Machines: A Review,https://ieeexplore.ieee.org/document/9669949/,Sim,no
Does the Use of Smart Board Increase Students’ Higher Order Thinking Skills (HOTS)?,https://ieeexplore.ieee.org/document/9284437/,,yes
